Filename,Predicted phases,Confidence
1.txt,AlN_216,94.0
10.txt,AlN_216,62.0
2.txt,AlN_216,97.5
3.txt,AlN_216,95.5
4.txt,AlN_216,97.5
6.txt,AlN_216,66.5
7.txt,AlN_216,64.5
8.txt,AlN_216,70.5
9.txt,AlN_216,70.5
A-1_NbSe2-mental-2.txt,SiBiTe3_148,51.0
AgCr2Te4-J113-2.txt,CrSiTe3_148,83.5
Al2O3_10_120_0.01_1_background_Pr.txt,AlN_216,57.5
AlN_1.txt,AlN_216,67.5
AlN_10.txt,AlN_216,67.0
AlN_11.txt,AlN_216,67.5
AlN_12.txt,AlN_216,63.0
AlN_2.txt,AlN_216,72.5
AlN_216_Theoretical.txt,AlN_216,99.0
AlN_3.txt,AlN_216,71.5
AlN_4.txt,AlN_216,69.5
AlN_5.txt,AlN_216,61.5
AlN_6.txt,AlN_216,66.5
AlN_7.txt,AlN_216,64.5
AlN_8.txt,AlN_216,61.5
AlN_9.txt,AlN_216,64.0
Bi2SeO2.xy,CrSiTe3_148,58.5
Bi2SeO2_139_Theoretical.txt,SiBiTe3_148,57.5
BiSiTe3-1.txt,未识别,
BiSiTe3-2.txt,未识别,
BiSiTe3-3.txt,未识别,
BiSiTe3-4.txt,未识别,
BiSiTe3-5.txt,未识别,
BiSiTe3-6.txt,未识别,
BiSiTe3-7.txt,未识别,
BiSiTe3-8.txt,未识别,
C034_FeZrT5_2_10_90_0.01_Pr_1.txt,SiBiTe3_148,81.5
C63_FeMoTe_2_5_90_0.01_GK.txt,SiBiTe3_148,62.5
Cr2CuSe4-POWDER.txt,CrSiTe3_148,98.0
Cr2CuSe4.xy,未识别,
Cr2CuSe41.txt,CrSiTe3_148,58.5
Cr2CuSe4_227_Theoretical.txt,CrSiTe3_148,77.0
Cr5Te8-powder.txt,CrSiTe3_148,95.5
Cr5Te8-powder.xy,CrSiTe3_148,97.0
Cr5Te8_12_Theoretical.txt,CrSiTe3_148,99.0
CrAlTe-1.txt,CrSiTe3_148,77.5
CrAlTe-2.txt,未识别,
CrAlTe-3.txt,未识别,
CrGeTe3-L009-powder.xy,CrSiTe3_148,62.5
CrGeTe3-b-2-powder.xy,未识别,
CrGeTe3-c-power.xy,SiBiTe3_148,57.5
CrGeTe3-f-power.xy,未识别,
CrGeTe3-i-powder.xy,SiBiTe3_148,74.0
CrGeTe3-l-power.xy,SiBiTe3_148,86.5
CrGeTe3_148_Theoretical.txt,CrSiTe3_148,99.5
CrI3.txt,未识别,
CrI3_151_Theoretical.txt,SiBiTe3_148,63.5
CrSiTe3  PURE FZ40.txt,未识别,
CrSiTe3 B027.txt,未识别,
CrSiTe3 B028.txt,未识别,
CrSiTe3 pure B025-2.txt,未识别,
CrSiTe3 pure B025-3.txt,未识别,
CrSiTe3 pure B025.txt,未识别,
CrSiTe3_1.txt,SiBiTe3_148,55.0
CrSiTe3_148_Theoretical.txt,CrSiTe3_148,100.0
CrSiTe3_180_10_70_0.01_txt.txt,未识别,
CrSiTe3_2.txt,未识别,
CrSiTe3_300_10_80_0.01.txt,未识别,
CrSiTe3_360_10_70_0.01_txt.txt,未识别,
CrSiTe3_back_10_70_0.01_Pr_1.txt,未识别,
CrSiTe3_rotation_0.01_10_80_0.01.txt,未识别,
CrTe2_JBX_J197_CT.txt,CrSiTe3_148,94.5
DC3.txt,AlN_216,65.0
DC4.txt,AlN_216,61.5
DC5.txt,AlN_216,66.0
Fe2TeSe_99.xy,SiBiTe3_148,67.0
Fe2TeSe_99_Theoretical.txt,CrSiTe3_148,73.5
FeS_5_90_0.01_J05-右.txt,未识别,
FeTe2_5_90_0.01_GK.txt,CrSiTe3_148,68.5
HfSe2-粉末.gk,未识别,
HfSe2_164_Theoretical.txt,CrSiTe3_148,50.5
J193_ZnIn2Te4.txt,CrSiTe3_148,55.5
J193_ZnIn2Te4_2.txt,未识别,
J215_ZnIn2Te4.txt,CrSiTe3_148,56.0
NbSeI-POWDER-1.txt,未识别,
NbSeI-POWDER-2.txt,未识别,
NbSeI_216_Theoretical.txt,未识别,
RF3.txt,AlN_216,63.5
RF4.txt,AlN_216,60.5
RF5.txt,AlN_216,64.5
Si2Te3.txt,未识别,
SiBiTe3_148_Theoretical.txt,SiBiTe3_148,99.5
SiTe2_164_Theoretical.txt,CrSiTe3_148,99.5
SmS-5-90-0.02.txt,CrSiTe3_148,80.5
Sn(SbTe2)2-粉末.gk,CrSiTe3_148,88.5
Sn(SbTe2)2_166_Theoretical.txt,SiBiTe3_148,91.5
VZrSe_5_90_0.01_GK.txt,CrSiTe3_148,88.0
